Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,
226.921417,16.806239,-1.071081,226.921417,16.703364,-1.697072,226.921417,16.655656,-1.314171,226.921417,16.710837,-1.483456,226.921417,16.695074,-1.465254,226.921417,16.745325,-1.679267,226.921417,16.675498,-1.791693,226.921417,16.740905,-1.810197,
227.419312,16.781364,-1.274322,227.419312,16.651940,-1.794652,227.419312,16.601631,-1.348910,227.419312,16.657924,-1.523352,227.419312,16.702612,-1.457167,227.419312,16.720670,-1.769854,227.419312,16.627737,-1.628027,227.419312,16.721003,-1.875876,
227.917206,16.767144,-1.281351,227.917206,16.667485,-1.620191,227.917206,16.622855,-1.206456,227.917206,16.655244,-1.530348,227.917206,16.673983,-1.484392,227.917206,16.711679,-1.630676,227.917206,16.611572,-1.686034,227.917206,16.755473,-1.877700,
228.415115,16.796436,-1.034158,228.415115,16.693332,-1.564181,228.415115,16.633679,-1.251740,228.415115,16.659533,-1.440149,228.415115,16.648489,-1.405311,228.415115,16.730229,-1.747148,228.415115,16.622163,-1.890929,228.415115,16.747969,-1.951934,
228.913040,16.814431,-1.134147,228.913040,16.680184,-1.600044,228.913040,16.625386,-1.254461,228.913040,16.688612,-1.556424,228.913040,16.650183,-1.320643,228.913040,16.709996,-1.742633,228.913040,16.650802,-1.593658,228.913040,16.756366,-1.856820,
229.410980,16.798292,-1.024298,229.410980,16.680440,-1.523803,229.410980,16.599986,-1.209281,229.410980,16.698636,-1.392821,229.410980,16.670773,-1.230018,229.410980,16.700877,-1.813613,229.410980,16.615602,-1.630569,229.410980,16.742147,-1.913970,
229.908920,16.742246,-1.180037,229.908920,16.666846,-1.605218,229.908920,16.605244,-1.262984,229.908920,16.693327,-1.210641,229.908920,16.677801,-1.426603,229.908920,16.727349,-1.609687,229.908920,16.602625,-1.735604,229.908920,16.715440,-1.753471,
230.406876,16.810835,-1.274015,230.406876,16.688025,-1.571968,230.406876,16.605852,-1.230373,230.406876,16.720930,-1.315751,230.406876,16.686029,-1.334116,230.406876,16.717524,-1.662962,230.406876,16.633821,-1.760954,230.406876,16.745795,-1.649522,
230.904846,16.811997,-1.052249,230.904846,16.667420,-1.551926,230.904846,16.618738,-1.015760,230.904846,16.716091,-1.254783,230.904846,16.694855,-1.268882,230.904846,16.675720,-1.536107,230.904846,16.637218,-1.648467,230.904846,16.737792,-1.755135,
231.402832,16.816101,-1.078725,231.402832,16.672350,-1.518969,231.402832,16.642873,-1.231007,231.402832,16.694590,-1.280144,231.402832,16.658901,-1.194603,231.402832,16.693104,-1.636559,231.402832,16.634902,-1.415739,231.402832,16.770461,-1.585847,
231.900818,16.811395,-0.878758,231.900818,16.688373,-1.487915,231.900818,16.577897,-1.126559,231.900818,16.669342,-1.187074,231.900818,16.679416,-1.214732,231.900818,16.722855,-1.697260,231.900818,16.639898,-1.602416,231.900818,16.762611,-1.683545,
232.398819,16.788982,-0.900286,232.398819,16.682396,-1.636159,232.398819,16.649753,-1.071179,232.398819,16.689043,-1.246998,232.398819,16.679034,-1.369165,232.398819,16.702455,-1.539325,232.398819,16.600736,-1.758666,232.398819,16.730986,-1.729900,
232.896835,16.826384,-1.022814,232.896835,16.684490,-1.598491,232.896835,16.630300,-1.103097,232.896835,16.703217,-1.111703,232.896835,16.697071,-1.132681,232.896835,16.711275,-1.555178,232.896835,16.681797,-1.613619,232.896835,16.766396,-1.878231,
233.394867,16.785727,-1.099617,233.394867,16.668858,-1.459627,233.394867,16.610003,-1.168641,233.394867,16.700942,-1.337286,233.394867,16.689302,-1.127033,233.394867,16.730964,-1.711139,233.394867,16.637364,-1.518852,233.394867,16.737805,-1.633355,
233.892899,16.761650,-0.811709,233.892899,16.695358,-1.600889,233.892899,16.632343,-1.062010,233.892899,16.684148,-1.070980,233.892899,16.690280,-1.088967,233.892899,16.712753,-1.584954,233.892899,16.644656,-1.738137,233.892899,16.757655,-1.644247,
234.390945,16.833115,-0.987982,234.390945,16.725637,-1.564299,234.390945,16.675489,-1.189172,234.390945,16.702671,-1.204971,234.390945,16.695149,-1.105854,234.390945,16.738630,-1.685784,234.390945,16.659124,-1.580982,234.390945,16.779092,-1.716612,
234.889008,16.818101,-0.954245,234.889008,16.734253,-1.411645,234.889008,16.594373,-1.223445,234.889008,16.737299,-1.208459,234.889008,16.682271,-1.119590,234.889008,16.721427,-1.593315,234.889008,16.622146,-1.587095,234.889008,16.770884,-1.665998,
235.387085,16.826634,-1.007277,235.387085,16.701478,-1.650412,235.387085,16.672380,-1.173856,235.387085,16.752409,-0.945734,235.387085,16.722623,-1.173578,235.387085,16.743573,-1.632126,235.387085,16.677219,-1.806763,235.387085,16.781500,-1.726567,
235.885162,16.817037,-1.087619,235.885162,16.730295,-1.514841,235.885162,16.677735,-1.019003,235.885162,16.755009,-1.134609,235.885162,16.706659,-1.094087,235.885162,16.742834,-1.612316,235.885162,16.651868,-1.550832,235.885162,16.783830,-1.832044,
