Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,
231.402832,5.067310,10.746877,231.402832,5.048597,5.162429,231.402832,5.055152,14.607099,231.402832,5.135908,10.790769,231.402832,5.076314,9.340192,231.402832,5.096060,10.164308,231.402832,5.072765,11.043260,231.402832,5.090550,10.149539,
231.900818,5.218544,9.173459,231.900818,5.196223,3.622988,231.900818,5.192374,13.083977,231.900818,5.287100,9.519907,231.900818,5.262671,8.285936,231.900818,5.282889,8.823881,231.900818,5.218192,9.691320,231.900818,5.267742,9.207358,
232.398819,5.384694,8.195732,232.398819,5.355037,2.720022,232.398819,5.344828,11.611937,232.398819,5.418183,8.035618,232.398819,5.421373,7.325379,232.398819,5.453424,7.687140,232.398819,5.382882,8.532710,232.398819,5.416119,7.628971,
232.896835,5.537384,7.215240,232.896835,5.575135,1.941143,232.896835,5.543823,10.688866,232.896835,5.603965,7.455143,232.896835,5.598775,5.861209,232.896835,5.627884,6.577854,232.896835,5.572804,7.433586,232.896835,5.589284,6.756233,
233.394867,5.687300,6.485445,233.394867,5.724819,1.328907,233.394867,5.652288,9.753693,233.394867,5.779562,6.606476,233.394867,5.760688,5.461158,233.394867,5.781881,5.843910,233.394867,5.732378,6.770059,233.394867,5.743801,5.821150,
233.892899,5.865133,5.892374,233.892899,5.895539,1.117503,233.892899,5.836568,9.219558,233.892899,5.887269,6.003493,233.892899,5.899958,4.852639,233.892899,5.932750,5.301853,233.892899,5.845940,6.249354,233.892899,5.894916,5.527982,
234.390945,6.018713,5.427545,234.390945,6.038785,0.761181,234.390945,5.949131,8.695980,234.390945,6.067214,5.492871,234.390945,6.056408,4.280218,234.390945,6.113150,4.411280,234.390945,5.994224,5.730693,234.390945,6.053288,5.111078,
234.889008,6.151163,5.123803,234.889008,6.221204,0.451097,234.889008,6.110851,8.402664,234.889008,6.224720,5.167685,234.889008,6.203045,4.043006,234.889008,6.248643,3.936788,234.889008,6.176298,5.221420,234.889008,6.223944,4.589740,
235.387085,6.288561,4.329692,235.387085,6.346355,0.317487,235.387085,6.260142,8.025807,235.387085,6.387238,4.789840,235.387085,6.339062,3.644221,235.387085,6.403655,4.354859,235.387085,6.287647,4.980423,235.387085,6.330028,4.170055,
235.885162,6.405027,4.119595,235.885162,6.493208,0.231061,235.885162,6.368746,7.685658,235.885162,6.484765,4.397560,235.885162,6.457242,3.601140,235.885162,6.523141,3.912374,235.885162,6.425966,4.783061,235.885162,6.470752,3.983801,
236.383255,6.537627,3.965324,236.383255,6.633229,0.134174,236.383255,6.504945,7.549665,236.383255,6.609640,4.418829,236.383255,6.593885,3.509727,236.383255,6.638587,3.640704,236.383255,6.555235,4.553981,236.383255,6.603192,3.961135,
236.881363,6.680846,3.948922,236.881363,6.755301,0.088734,236.881363,6.616693,7.308981,236.881363,6.727723,4.125730,236.881363,6.706606,3.186963,236.881363,6.769440,3.545805,236.881363,6.682237,4.414035,236.881363,6.717757,3.584808,
237.379486,6.734014,3.939762,237.379486,6.838517,-0.003174,237.379486,6.726239,7.271702,237.379486,6.809836,4.304201,237.379486,6.777563,3.007220,237.379486,6.898006,3.240646,237.379486,6.777956,4.032367,237.379486,6.818120,3.448530,
237.877609,6.900993,3.559264,237.877609,6.980477,0.083616,237.877609,6.847428,7.078449,237.877609,6.956709,4.279541,237.877609,6.917925,2.957559,237.877609,7.013893,3.329645,237.877609,6.903140,4.188755,237.877609,6.932008,3.420330,
238.375748,6.959605,3.430740,238.375748,7.063215,-0.046105,238.375748,6.935608,6.976183,238.375748,7.026550,3.915075,238.375748,7.009780,2.986496,238.375748,7.103851,3.095849,238.375748,6.997386,4.015576,238.375748,7.038283,3.404254,
238.873901,7.096568,3.265604,238.873901,7.170643,-0.046567,238.873901,7.030500,6.772058,238.873901,7.132008,3.895931,238.873901,7.077643,2.999530,238.873901,7.181213,3.142619,238.873901,7.097334,3.956742,238.873901,7.106618,3.333370,
239.372055,7.191544,3.102098,239.372055,7.260623,-0.003478,239.372055,7.118950,6.591292,239.372055,7.199974,3.651392,239.372055,7.207633,2.758547,239.372055,7.290371,2.945590,239.372055,7.157508,3.846541,239.372055,7.181671,3.112220,
239.870239,7.254346,3.207612,239.870239,7.370482,-0.005585,239.870239,7.209086,6.816322,239.870239,7.317360,3.483108,239.870239,7.277953,2.810924,239.870239,7.361528,3.007186,239.870239,7.252966,3.807894,239.870239,7.269108,3.178248,
240.368423,7.331727,2.881893,240.368423,7.467711,-0.412078,240.368423,7.310800,6.618074,240.368423,7.388118,3.754055,240.368423,7.378287,2.560940,240.368423,7.493637,2.583062,240.368423,7.353020,3.742808,240.368423,7.388663,2.889815,
240.866608,7.404179,3.036225,240.866608,7.539646,0.012585,240.866608,7.371385,6.607522,240.866608,7.437072,3.518539,240.866608,7.434982,2.794437,240.866608,7.534650,2.614525,240.866608,7.437423,3.485816,240.866608,7.453750,2.977508,
241.364822,7.487089,3.028136,241.364822,7.674772,0.056549,241.364822,7.449890,6.430319,241.364822,7.559527,3.406830,241.364822,7.553037,2.635671,241.364822,7.637820,2.528776,241.364822,7.527917,3.703151,241.364822,7.541620,2.856056,
241.863037,7.578021,2.777559,241.863037,7.706925,0.051791,241.863037,7.528691,6.274688,241.863037,7.668708,3.388182,241.863037,7.609372,2.399175,241.863037,7.707244,2.835463,241.863037,7.606925,3.580895,241.863037,7.609134,2.935322,
242.361267,7.665582,2.827187,242.361267,7.813570,0.157943,242.361267,7.620760,6.228942,242.361267,7.736397,3.470625,242.361267,7.679151,2.602162,242.361267,7.777860,2.607028,242.361267,7.668191,3.676897,242.361267,7.699655,3.065193,
242.859512,7.720766,2.735606,242.859512,7.909754,0.084062,242.859512,7.689897,6.274157,242.859512,7.808453,3.425593,242.859512,7.787436,2.558678,242.859512,7.896103,2.553454,242.859512,7.788910,3.622066,242.859512,7.803832,2.736889,
243.357773,7.820457,2.880891,243.357773,7.987719,0.246680,243.357773,7.757029,6.123684,243.357773,7.860668,3.146973,243.357773,7.845509,2.535492,243.357773,7.945109,2.601873,243.357773,7.821049,3.288608,243.357773,7.850045,2.749068,
243.856033,7.861815,2.643401,243.856033,8.074715,0.229072,243.856033,7.808927,6.106454,243.856033,7.949320,3.488196,243.856033,7.888523,2.325153,243.856033,8.039754,2.298283,243.856033,7.903166,3.509055,243.856033,7.901565,2.741276,
244.354309,7.905285,2.444405,244.354309,8.154075,0.225335,244.354309,7.889021,6.094615,244.354309,7.987801,2.989665,244.354309,7.967388,2.244149,244.354309,8.086763,2.361887,244.354309,7.957770,3.680389,244.354309,7.973631,2.615757,
